quantified_toxicity,Formulation,Helper_lipid_ID,Comment,Lipid/Cells,mRNA/Cells,Lipid_name,Experiment_ID,Cargo_type,Model_type,Experiment_weight,unnormalized_delivery,Cationic_Lipid_Mol_Ratio,Cationic_Lipid_to_mRNA_weight_ratio,mRNA/cells,toxicity_class,delivery_class,unnormalized_toxicity,smiles,quantified_delivery,cv_1_pred_quantified_delivery,Prediction_split_name
0.97318,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2694",3.2619482826353634,1.252762968495368,2A9-3T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.97318,CC/C=C/CCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C/CC)CCN(C)C,-0.43352,-0.235234270350418,Lee_unsat
0.9751,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2695",3.276432664437188,1.252762968495368,2A9V-3T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.9751,CC/C=C/CCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSCC/C=C/CC,-0.43352,-0.2338349160756687,Lee_unsat
0.95594,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2699",3.9052298430594576,1.252762968495368,6A3-3T,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.95594,CC/C=C/CCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C/CC)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C/CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C/CC)CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C/CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C/CC,0.41047,0.9006273074032636,Lee_unsat
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2701",3.2619482826353634,1.252762968495368,2A9-3C,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,1.0,CC/C=C\CCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCN(C)C,-1.53719,-0.2390499011467719,Lee_unsat
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2702",3.276432664437188,1.252762968495368,2A9V-3C,Lee_unsat,mRNA,IGROV1,1.0,1.0,,,,0.0,0.0,1.0,CC/C=C\CCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC,-1.53719,-0.237558153973604,Lee_unsat
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2706",3.9052298430594576,1.252762968495368,6A3-3C,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,1.0,CC/C=C\CCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCN(CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC)CCC(=O)OCCOC(=O)C(C)CSCC/C=C\CC,0.41047,0.9006472142179024,Lee_unsat
0.94061,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2722",3.2619482826353634,1.252762968495368,2A9-4T,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,0.94061,C/C=C/CCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C/C)CCN(C)C,-0.43352,-0.2312059842167324,Lee_unsat
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2729",3.2619482826353634,1.252762968495368,2A9-4C,Lee_unsat,mRNA,IGROV1,1.0,2.7,,,,0.0,1.0,1.0,C/C=C\CCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCC/C=C\C)CCN(C)C,-0.43352,-0.2359581200484253,Lee_unsat
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2771",3.2619482826353634,1.252762968495368,2A9-5,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,1.0,C=CCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCC=C)CCN(C)C,0.41047,-0.2260929662739458,Lee_unsat
0.99042,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2772",3.276432664437188,1.252762968495368,2A9V-5,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,0.99042,C=CCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCOC(=O)C(C)CSCCCCC=C,0.41047,-0.2249925301999628,Lee_unsat
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2776",3.9052298430594576,1.252762968495368,6A3-5,Lee_unsat,mRNA,IGROV1,1.0,4.0,,,,0.0,1.0,1.0,C=CCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCC=C)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCC=C)CCC(=O)OCCOC(=O)C(C)CSCCCCC=C)CCN(CCC(=O)OCCOC(=O)C(C)CSCCCCC=C)CCC(=O)OCCOC(=O)C(C)CSCCCCC=C,0.41047,0.9123805435509328,Lee_unsat
