quantified_toxicity,quantified_delivery,smiles,Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Comment,Lipid/Cells,mRNA/Cells,Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens,Experiment_ID,Cargo_type,Model_type,Experiment_weight,Sample_weight,unnormalized_delivery,Cationic_Lipid_Mol_Ratio,Cationic_Lipid_to_mRNA_weight_ratio,mRNA/cells,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_A549,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB,toxicity_class,delivery_class,unnormalized_toxicity
1.0,,CCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-6,2.0,6.0,6.141312411659964,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0
1.0,,CCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-6b,2.0,5.0,6.141312411659964,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0
1.0,,CCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-7,2.0,7.0,6.199934972709498,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0
0.98503,,CCCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-7b,2.0,6.0,6.199934972709498,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.98503
1.0,,CCCCC(CC)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(CC)CCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-7b2,2.0,5.0,6.199934972709498,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0
1.0,,CCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-8,2.0,8.0,6.255310405780225,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0
0.99583,,CCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-8b,2.0,7.0,6.2280059451041465,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.99583
1.0,,CCCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-9,2.0,9.0,6.307779629309987,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0
1.0,,CCCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-9b,2.0,8.0,6.307779629309987,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0
1.0,,CCCCC(CC)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(CC)CCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1.0986122886681098,1-a2-9b2,2.0,7.0,6.307779629309987,0,3,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0
