Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_A549,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB
23.80952381,23.80952381,47.61904762,4.761904762,10.59793674,2.0,8.0,6.609443578340319,4,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,10.74465095,2.0,8.0,6.628169674827216,4,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,10.04013539,2.0,6.0,6.536682901901323,2,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,10.19245476,2.0,6.0,6.556808185258605,2,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,15.83275417,4.0,6.0,7.206325361340523,4,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,19.46459718,6.0,6.0,7.57546054129233,6,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,10.04013539,2.0,6.0,6.536682901901323,2,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,10.19245476,2.0,6.0,6.556808185258605,2,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,15.83275417,4.0,6.0,7.206325361340523,4,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,19.46459718,6.0,6.0,7.57546054129233,6,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
